RAg Ram Ras  Decg Decm Decs   GIN  Name    m    Type    Dn     e      Re         <SBe>   BTot         SBe     B-R     AR      KR      KB     D/B    ReB         mueB    h          mu0 
13 49 52.6  +25 11 26  330  J13       M  S     18.00  99.99  10.91        20.77  13.71        21.92   1.301   0.000   0.009   0.115   0.81   6.83       21.79   9.07       21.24
13 55 48.4  +24 48 18  331  J13       N  S     14.39  99.99   4.68        19.87  14.79        21.02   1.423   0.000   0.020   0.245   1.39   1.85       20.19   4.06       20.15
13 55 56.3  +24 57 02  332  J13       O  S      3.87   0.21   8.35        21.34  14.86        22.04  99.999   0.000   0.009   0.114  99.99  99.99       99.99  99.99       99.99
13 56 09.4  +25 11 42  333  J13       P  E/S0  17.42   0.11   6.52        20.03  14.10        21.44   1.510   0.000   0.029   0.144   0.31   4.56       20.94   8.52       22.19
13 56 02.1  +24 40 31  334  J13       1  E     17.16  99.99   5.84        19.88  14.32        21.27  99.999   0.000   0.063   0.314  99.99  99.99       99.99  99.99       99.99
13 51 39.4  +24 41 17  335  J13       2  E/S0  13.75  99.99   4.45        19.78  14.81        21.28  99.999   0.000   0.065   0.324   0.63   2.03       20.01   6.18       21.53
14 08 07.1  -09 04 19  336  J36       A  E/S0  35.43  99.99  16.98        20.43  12.46        21.77   1.477   0.039   0.038   0.187   0.85   7.47       20.72  18.23       21.43
14 08 07.6  -09 03 43  337  J36       B  E/S0  14.99   0.73   4.97        19.78  14.47        21.52  99.999   0.039   0.039   0.194   0.67   1.79       19.51   9.57       22.20
14 08 06.3  -09 04 42  338  J36       C  E/S0  14.22   0.56   9.56        20.95  14.19        22.26  99.999   0.039   0.033   0.166   0.92   4.09       21.21   9.91       21.82
14 06 36.7  -09 13 46  339  J36       D  E/S0  23.25  99.99   6.66        19.64  13.70        20.92   1.392   0.032   0.040   0.200   1.21   2.34       19.63   6.52       20.25
14 09 55.9  -09 04 56  340  J36       1  S     11.99  99.99   7.61        20.85  14.85        22.05  99.999   0.037   0.031   0.377   1.93   1.72       20.18   6.75       21.04
14 09 54.1  -08 49 22  341  J36       2  E/S0  14.91  99.99   4.58        19.69  14.63        21.22  99.999   0.037   0.058   0.288   0.59   2.11       19.90   6.92       21.66
14 47 02.2  +13 40 05  343  J14       A  E/S0  27.21   0.33   8.97        19.88  13.24        21.10   1.482   0.010   0.029   0.146   1.16   3.71       20.19   8.29       20.38
14 46 39.2  +13 40 33  344  J14       B  E     22.10   0.04   5.71        19.40  13.75        20.80   1.508   0.010   0.030   0.149  99.99  99.99       99.99  99.99       99.99
14 46 47.9  +13 41 40  345  J14       C  S     11.77   0.18   3.57        19.76  15.13        20.85   1.371   0.010   0.009   0.112   0.67   3.05       21.37   2.42       19.91
14 46 54.2  +13 42 36  346  J14       D  E     13.20  99.99   2.25        18.65  15.02        20.05  99.999   0.010   0.031   0.154  99.99  99.99       99.99  99.99       99.99
14 48 17.4  +13 45 25  347  J14       1  E/S0  16.50  99.99   7.29        20.30  14.27        21.87  99.999   0.010   0.068   0.342   0.65   3.04       20.33  11.24       22.24
14 48 05.3  +13 28 49  348  J14       2  E/S0  16.17   0.17   3.72        19.24  14.52        20.56  99.999   0.010   0.031   0.155   0.35   2.74       20.31   3.77       20.73
14 47 45.7  +13 20 32  349  J14       3  E/S0  13.32  99.99   4.25        19.78  14.84        21.18  99.999   0.005   0.044   0.221   0.68   2.03       20.14   5.09       21.15
14 46 50.2  +13 50 53  350  J14       4  S     21.61  99.99   4.65        19.11  13.98        20.16  99.999   0.010   0.015   0.183   1.14  10.90       23.19   1.94       17.90
14 46 22.1  +13 28 36  351  J14       5  SB     8.17  99.99   7.04        21.32  15.37        22.71  99.999   0.005   0.022   0.265  99.99  99.99       99.99  99.99       99.99
14 47 06.3  +11 35 38  352  J14-1     A  S     34.49   0.41  14.31        20.25  12.60        21.28   1.516   0.013   0.009   0.113   2.92   3.13       19.83  11.00       19.99
14 46 53.8  +11 37 33  353  J14-1     B  E     25.22  99.99   5.56        19.12  13.53        20.52   1.473   0.013   0.030   0.149  99.99  99.99       99.99  99.99       99.99
14 46 46.5  +11 34 12  354  J14-1     C  E/S0  24.83   0.37   7.24        19.61  13.44        21.06   1.543   0.015   0.028   0.139   0.29   4.92       20.44  11.43       22.21
14 46 27.7  +11 30 25  355  J14-1     D  S     27.95   0.06   3.77        18.33  13.59        19.41   1.407   0.015   0.009   0.115   1.10   2.29       19.45   2.90       18.47
14 47 07.0  +10 59 58  356  J14-1     E  E/S0  18.69  99.99   9.33        20.50  13.78        21.69   1.479   0.015   0.030   0.152   0.46   7.47       21.82   7.28       21.21
14 49 07.7  +10 58 46  357  J14-1     F  E/S0  20.68  99.99   5.38        19.44  13.92        20.83   1.468   0.008   0.029   0.146   0.58   2.90       19.99   6.43       20.92
14 49 35.0  +11 14 53  358  J14-1     1  DB    20.95  99.99   7.46        20.07  13.94        20.90  99.999   0.005   0.054   0.269   7.45   1.77       20.66   4.88       19.29
14 48 36.7  +11 19 31  359  J14-1     2  E/S0  24.30  99.99  11.69        20.44  13.33        21.89  99.999   0.005   0.052   0.261   0.42   6.96       21.09  16.55       22.52
14 47 17.8  +11 07 48  360  J14-1     3  S     12.81  99.99   5.63        20.32  14.79        21.45  99.999   0.015   0.017   0.209   1.76   1.81       20.35   4.75       20.44
14 46 53.6  +11 22 46  361  J14-1     4  SB    13.24  99.99   5.66        20.29  14.75        21.33  99.999   0.015   0.017   0.203   2.35   1.67       20.34   4.42       20.13
14 54 23.5  +16 21 17  362  A1983     A  cD    32.87   0.18  23.12        21.05  12.41        22.50   1.522   0.010   0.045   0.227   0.69  10.29       21.24  29.89       22.58
14 52 55.3  +16 42 10  363  A1983     B  E/S0  15.09   0.41  14.00        21.32  13.79        22.40   1.450   0.010   0.044   0.220   1.85   5.07       21.65  11.22       21.31
14 52 56.7  +16 43 38  364  A1983     C  E/S0  16.81  99.99   7.95        20.42  14.12        21.60   1.514   0.010   0.047   0.235   1.11   3.69       20.96   7.05       20.86
14 52 43.3  +16 54 13  365  A1983     D  E     24.19   0.10   7.03        19.60  13.57        21.01   1.502   0.015   0.046   0.229  99.99  99.99       99.99  99.99       99.99
14 52 23.0  +17 07 17  366  A1983     E  E/S0  21.42  99.99  10.62        20.49  13.55        22.06   1.508   0.008   0.045   0.224   0.28   6.81       21.18  29.09       24.34
14 49 59.2  +16 48 35  367  A1983     F  E     12.29  99.99   6.63        20.62  14.71        22.01   1.421   0.008   0.046   0.230  99.99  99.99       99.99  99.99       99.99
14 49 57.1  +16 48 30  368  A1983     G  E     15.42   0.28   5.48        19.95  14.45        21.34  99.999   0.008   0.046   0.229  99.99  99.99       99.99  99.99       99.99
14 52 57.8  +16 41 50  369  A1983     1  E     18.06  99.99   3.21        18.73  14.39        20.12  99.999   0.010   0.045   0.227  99.99  99.99       99.99  99.99       99.99
14 51 14.7  +16 41 42  370  A1983     2  S     18.91  99.99   3.68        19.04  14.41        20.10  99.999   0.000   0.015   0.179   1.35   1.95       19.98   2.85       19.09
14 49 22.5  +16 25 56  371  A1983     3  S     12.38  99.99   3.80        19.70  15.11        21.15  99.999   0.003   0.023   0.279   0.53   2.03       20.19   5.09       21.49
14 54 31.5  +18 38 31  372  A1991     A  cD    20.60  99.99  28.62        21.87  12.83        23.09   1.544   0.015   0.059   0.296   0.30  25.62       23.31  20.97       22.80
14 54 48.1  +18 33 49  373  A1991     B  S     15.76  99.99   8.27        20.56  14.22        21.43  99.999   0.015   0.018   0.221   4.70   2.49       21.23   5.61       19.92
14 54 18.1  +18 33 11  374  A1991     C  S     14.79   0.11   7.60        20.53  14.38        21.50  99.999   0.015   0.018   0.217   3.22   2.05       20.65   5.56       20.15
14 51 14.4  +18 45 26  375  A1991     D  E/S0  17.28  99.99   3.98        19.19  14.38        20.67   1.528   0.022   0.044   0.221   0.26   2.75       20.03   7.14       22.16
14 51 09.9  +18 34 32  376  A1991     E  E/S0  24.35  99.99  12.27        20.51  13.26        21.95   1.472   0.022   0.044   0.220   0.92   4.46       20.42  14.54       21.68
14 53 39.9  +18 04 12  377  A1991     F  E/S0  17.64  99.99   5.90        19.87  14.32        21.20   1.497   0.013   0.071   0.354   0.70   3.03       20.40   6.33       20.99
14 54 54.1  +18 50 12  378  A1991     1  E/S0  13.15  99.99   4.52        19.97  14.94        20.99  99.999   0.020   0.059   0.293   0.82   4.78       22.13   2.60       19.63
14 54 05.2  +18 26 00  379  A1991     2  E/S0  15.62  99.99   3.63        19.22  14.67        20.66  99.999   0.015   0.056   0.277   0.28   2.53       20.09   5.59       21.81
14 55 56.9  +18 02 49  380  A1991     3  E/S0  19.93  99.99   4.40        19.15  14.18        20.57  99.999   0.025   0.054   0.270   0.51   2.45       19.72   5.65       20.88
14 55 58.1  +18 30 07  381  A1991     4  S      6.86  99.99   8.97        21.43  14.91        22.23  99.999   0.015   0.018   0.215  10.38   1.60       21.72   5.76       20.57
14 55 24.0  +18 50 08  382  A1991     5  E/S0  19.71  99.99   5.85        19.67  14.08        21.04  99.999   0.020   0.058   0.288   0.57   3.20       20.24   6.87       21.11
15 19 01.6  +04 31 13  383  J16       A  E/S0  32.46   0.86  13.78        20.26  12.72        21.51   1.479   0.039   0.036   0.183   0.97   6.17       20.64  13.41       20.97
15 19 03.6  +04 19 59  384  J16       B  E/S0  29.29   0.44   9.08        19.75  13.16        21.09   1.525   0.027   0.047   0.234   1.00   3.48       19.81   9.62       20.63
15 18 28.0  +04 40 30  385  J16       C  E/S0  16.44   0.25   5.24        19.76  14.27        21.24   1.443   0.039   0.026   0.130   0.34   3.30       20.46   8.64       22.33
15 21 22.5  +04 20 30  386  J16       D  E/S0  22.27   0.39  13.22        20.76  13.38        22.04   1.590   0.027   0.052   0.262   0.51   8.64       21.68  13.07       21.91
15 17 23.1  +04 12 48  387  J16       E  E/S0  22.75   0.21   5.00        19.12  13.79        20.55   1.516   0.022   0.036   0.180   0.20   3.86       20.15   7.79       22.03
15 19 24.8  +04 34 45  388  J16       F  E/S0  17.72   0.42   4.09        19.26  14.36        20.63   1.536   0.039   0.038   0.190   0.83   1.75       19.46   4.61       20.38
15 18 52.7  +04 51 55  389  J16       G  S     19.08   0.72   9.53        20.50  13.76        21.21  99.999   0.041   0.012   0.145  71.85   1.00       21.65   5.75       19.42
15 20 52.0  +04 23 27  390  J16       1  E/S0  14.68  99.99   3.83        19.46  14.77        20.70  99.999   0.027   0.053   0.266   0.19   3.92       21.09   2.14       20.17
15 19 37.5  +04 26 54  391  J16       2  S      6.08  99.99   6.77        21.29  15.30        22.10  99.999   0.027   0.012   0.145  10.31   1.16       21.49   4.35       20.43
15 19 33.9  +04 20 15  392  J16       3  E     11.90  99.99   8.49        21.04  14.56        22.44  99.999   0.027   0.038   0.192  99.99  99.99       99.99  99.99       99.99
15 19 27.9  +04 05 44  393  J16       4  E/S0  21.12  99.99   5.83        19.60  14.00        20.80  99.999   0.025   0.052   0.260   1.17   2.50       20.00   5.26       20.05
15 18 09.4  +04 33 45  394  J16       5  S     19.22   0.06   5.43        19.60  14.10        20.94  99.999   0.039   0.012   0.142   1.20   1.74       19.38   5.59       20.33
15 11 41.6  +04 29 27  395  J16W      A  cD    24.92  99.99  16.84        20.97  13.00        22.32  99.999   0.051   0.036   0.181   1.45   4.11       20.27  17.16       21.58
15 11 31.5  +04 31 02  396  J16W      B  S     24.27  99.99   8.52        20.01  13.52        21.04   1.495   0.049   0.012   0.147   1.47   4.66       21.07   6.36       19.94
15 11 37.1  +04 28 01  397  J16W      C  E     18.89  99.99   4.42        19.23  14.17        20.62  99.999   0.049   0.035   0.174  99.99  99.99       99.99  99.99       99.99
15 12 53.0  +04 30 50  398  J16W      D  E/S0  26.82  99.99   4.31        18.52  13.52        20.07   1.481   0.053   0.037   0.185   0.38   2.50       19.08   8.10       21.30
15 13 10.4  +04 28 55  399  J16W      E  E/S0  22.55   0.19   4.52        19.07  13.96        20.29   1.434   0.053   0.036   0.180   1.50   1.39       18.90   4.14       19.43
15 13 18.6  +04 28 38  400  J16W      F  E/S0  21.18  99.99   6.94        19.85  13.81        21.13  99.999   0.053   0.036   0.179   0.83   3.39       20.34   6.97       20.72
15 14 06.3  +04 13 18  401  J16W      G  E     21.38  99.99   5.09        19.26  13.89        20.65  99.999   0.027   0.038   0.189  99.99  99.99       99.99  99.99       99.99
15 13 50.9  +04 37 19  402  J16W      H  E/S0  15.30  99.99   4.25        19.53  14.56        20.99  99.999   0.032   0.042   0.209   0.47   2.39       20.10   5.93       21.50
15 13 49.8  +04 43 23  403  J16W      I  S     15.61  99.99   6.11        20.13  14.54        21.41  99.999   0.058   0.026   0.312   1.31   1.95       19.95   5.97       20.70
15 13 43.5  +04 21 43  404  J16W      1  S     14.45  99.99   5.11        20.03  14.65        21.02  99.999   0.029   0.012   0.147   3.00   1.39       20.10   3.79       19.70
15 10 52.4  +04 52 04  405  J16W      2  S     13.36  99.99   5.30        20.15  14.69        21.44  99.999   0.058   0.012   0.147   1.27   1.74       20.02   5.20       20.74
15 21 55.4  +08 25 24  406  A2063-S   A  cD    33.06   0.71  12.57        20.06  12.72        21.45   1.493   0.049   0.040   0.197   0.21   9.86       21.13  16.48       22.55
15 20 53.2  +08 23 48  407  A2063-S   B  S     22.54   0.06   5.99        19.44  13.74        20.97  99.999   0.044   0.014   0.177   0.59   2.74       19.64   9.09       21.42
15 21 37.0  +07 43 08  408  A2063-S   C  SB0   19.10   0.07  19.57        21.60  13.35        22.97   1.525   0.044   0.046   0.231   1.33   5.34       21.10  20.29       22.30
15 12 50.6  +07 25 23  409  A2040     A  E     13.92  99.99  10.57        21.13  14.21        22.53  99.999   0.032   0.046   0.229  99.99  99.99       99.99  99.99       99.99
15 12 47.6  +07 26 02  410  A2040     B  cD    20.67   0.25  23.31        21.67  13.02        22.82   1.470   0.032   0.046   0.229   2.35   4.39       20.74  19.65       21.68
15 12 43.2  +07 26 46  411  A2040     C  E/S0  14.17  99.99   9.13        20.88  14.27        22.18  99.999   0.032   0.044   0.220   0.36   6.77       21.95   9.10       22.32
15 12 37.5  +07 27 02  412  A2040     D  S     10.17  99.99   3.61        20.03  15.44        21.02  99.999   0.032   0.034   0.415   2.00   1.68       20.96   2.65       19.80
15 12 34.3  +07 25 49  413  A2040     E  E/S0  16.74  99.99   3.26        18.89  14.52        20.34  99.999   0.032   0.043   0.216   0.18   2.53       19.91   6.22       22.35
15 11 31.5  +07 15 05  414  A2040     F  E/S0  34.42  99.99  11.82        19.89  12.73        21.31  99.999   0.029   0.045   0.225   0.38   7.57       20.67  15.62       21.90
15 10 11.1  +07 37 42  415  A2040     G  S     11.70   0.09   8.02        20.87  14.53        21.74  99.999   0.029   0.014   0.176   5.36   1.75       20.97   5.47       20.22
15 09 28.3  +07 33 22  416  A2040     H  E/S0  20.13  99.99   9.88        20.47  13.83        21.75  99.999   0.029   0.077   0.386   0.84   4.78       20.95   9.91       21.33
15 12 28.3  +07 58 24  417  A2040     1  S     12.89  99.99   7.20        20.66  14.57        21.82  99.999   0.025   0.014   0.175   1.88   1.96       20.37   6.20       20.80
15 11 16.2  +07 29 20  418  A2040     2  E/S0  19.42  99.99   5.74        19.66  14.06        21.03  99.999   0.034   0.046   0.229   0.52   3.31       20.31   6.83       21.20
15 16 44.6  +07 01 16  419  A2052     A  cD    32.71   0.22  32.55        21.37  11.95        22.51   1.563   0.027   0.034   0.172   0.42  39.37       23.56  15.41       21.06
15 19 13.5  +06 49 24  420  A2052     B  E/S0  20.55   0.58   7.24        20.04  13.89        20.95   1.501   0.027   0.031   0.156   2.75   3.36       21.20   5.01       19.57
15 16 53.9  +06 56 22  421  A2052     C  E/S0  25.50  99.99   7.65        19.66  13.40        21.02   1.600   0.027   0.033   0.167   0.09   8.49       21.38   2.49       19.92
15 16 09.9  +06 57 51  422  A2052     D  S     12.95   0.18  14.33        21.81  14.17        23.29   1.406   0.025   0.010   0.118   1.43   2.73       20.56  15.99       22.61
15 16 10.1  +06 57 04  423  A2052     E  S     13.75  99.99   5.96        20.30  14.57        21.43  99.999   0.025   0.010   0.124   0.71   4.32       21.57   4.58       20.68
15 17 12.6  +07 01 37  424  A2052     F  S     17.53   0.09   4.85        19.67  14.40        20.62  99.999   0.027   0.011   0.134   3.20   1.54       20.13   3.48       19.24
15 17 11.0  +06 56 29  425  A2052     G  E/S0  18.66  99.99   4.71        19.32  14.11        20.96  99.999   0.027   0.037   0.183   0.56   2.07       19.41   8.83       21.79
15 23 05.3  +08 36 33  426  A2063     A  cD    30.28  99.99  18.12        20.72  12.59        21.68  99.999   0.044   0.034   0.170   1.68  11.78       22.25  12.41       20.41
15 23 11.0  +08 38 02  427  A2063     B  E/S0  18.04   0.23   5.35        19.67  14.19        20.99   1.481   0.044   0.034   0.173   0.68   2.86       20.28   5.66       20.78
15 23 14.1  +08 38 42  428  A2063     C  E/S0  18.79  99.99   5.55        19.65  14.08        21.03  99.999   0.044   0.034   0.173   0.21   4.40       20.74   6.87       22.00
15 23 15.0  +08 34 25  429  A2063     D  E/S0  18.88   0.78   5.37        19.65  14.15        20.88   1.441   0.044   0.035   0.173   1.42   1.76       19.58   4.96       20.06
15 23 07.4  +08 31 42  430  A2063     E  E/S0  17.83  99.99   6.21        19.95  14.14        21.20  99.999   0.044   0.033   0.164   0.78   3.31       20.60   5.98       20.77
15 23 10.4  +08 30 19  431  A2063     F  E/S0  17.33   0.29   3.43        18.96  14.44        20.30   1.369   0.044   0.036   0.179   0.16   2.99       20.22   3.40       21.07
15 23 35.4  +09 20 45  432  A2063     G  E/S0  28.92   0.22   6.09        19.10  13.33        20.40   1.464   0.046   0.033   0.164   0.49   3.94       19.99   6.26       20.37
15 23 39.2  +08 45 33  433  A2063     H  E/S0  21.08  99.99   3.29        18.53  14.10        19.92  99.999   0.039   0.034   0.172   0.41   2.10       19.33   4.09       20.35
15 39 39.2  +21 46 57  436  A2107     A  cD    36.27   0.40  39.46        21.65  11.85        23.08   1.538   0.109   0.042   0.209   0.03  41.81       23.20   5.64       21.18
15 39 23.0  +21 44 20  437  A2107     B  E/S0  21.73   0.21   9.67        20.32  13.57        21.71  99.999   0.109   0.042   0.210   0.03  10.15       21.85   2.61       21.15
15 37 26.2  +21 44 36  438  A2107     C  S     20.10   0.35   7.84        20.10  13.81        21.50   1.266   0.101   0.013   0.158  99.99  99.99       99.99  99.99       99.99
15 39 56.9  +21 49 26  439  A2107     D  E/S0  19.76   0.02   4.03        19.00  14.15        20.48   1.520   0.109   0.043   0.216   0.64   1.85       19.24   5.45       20.68
15 40 17.3  +21 54 53  440  A2107     E  S     11.23   0.49   5.87        20.56  14.90        21.57   1.317   0.113   0.013   0.161   2.75   1.61       20.58   4.44       20.29
15 40 46.8  +21 46 20  441  A2107     1  E     11.07  99.99   4.84        20.29  15.04        21.68  99.999   0.109   0.043   0.216  99.99  99.99       99.99  99.99       99.99
15 39 51.5  +21 42 14  442  A2107     2  S      6.47  99.99   6.28        21.11  15.30        21.87  99.999   0.109   0.013   0.161  14.28   1.60       22.50   3.92       20.16
15 55 02.1  +41 34 41  443  J17       A  cD    33.50   0.65  10.49        19.77  12.82        21.06   1.518   0.017   0.034   0.169   0.51   6.76       20.66  10.60       20.97
15 55 14.0  +41 34 54  444  J17       B  S     15.65   0.28   3.03        19.00  14.74        20.14   1.426   0.017   0.011   0.130   0.74   2.07       20.16   2.43       19.44
15 55 40.3  +41 30 16  445  J17       C  S     16.30   0.37   3.37        19.03  14.55        20.47  99.999   0.010   0.010   0.117   0.53   1.81       19.54   4.42       20.77
15 53 29.1  +41 34 48  446  J17       D  E/S0  28.48   0.69   5.44        18.92  13.39        20.25   1.518   0.025   0.033   0.166   0.43   3.59       19.80   6.00       20.44
15 55 27.2  +41 33 29  447  J17       E  E/S0  15.58   0.44   2.76        18.70  14.65        20.24   1.472   0.017   0.033   0.166   0.36   1.64       19.31   5.23       21.53
15 54 14.3  +41 24 53  448  J17       F  S     10.53   0.64   6.35        20.67  14.81        21.37  99.999   0.017   0.011   0.133  99.99  99.99       99.99  99.99       99.99
15 53 45.6  +41 23 24  449  J17       G  S     15.92   0.42   4.48        19.60  14.49        20.93  99.999   0.017   0.012   0.143   0.92   1.87       19.80   4.75       20.52
15 55 14.3  +41 28 01  450  J17       1  S     11.30  99.99   2.85        19.36  15.23        20.84  99.999   0.017   0.011   0.133   0.46   1.58       19.88   4.30       21.51
15 55 09.7  +41 26 54  451  J17       2  S     10.84  99.99   4.57        20.31  15.16        21.01  99.999   0.017   0.011   0.133  99.99  99.99       99.99  99.99       99.99
15 53 53.0  +41 29 51  452  J17       3  S     13.69  99.99   3.04        19.20  14.94        20.47  99.999   0.017   0.011   0.133   0.46   2.11       20.21   2.92       20.36
16 02 17.1  +15 58 29  453  A2147     A  cD    30.11   0.48  31.26        21.58  12.26        22.97   1.501   0.017   0.035   0.177  99.99  99.99       99.99  99.99       99.99
16 02 12.7  +15 54 27  454  A2147     B  E/S0  27.13  99.99  11.68        20.27  13.09        21.57   1.570   0.017   0.036   0.179   0.28   9.43       21.47  11.06       21.81
16 02 20.0  +16 20 45  455  A2147     C  E/S0  33.99   0.25  15.15        20.33  12.58        21.63   1.503   0.022   0.039   0.194   0.60   8.74       21.03  16.00       21.51
16 02 18.1  +16 21 56  456  A2147     D  E     20.51   0.25  11.12        20.63  13.56        22.02   1.484   0.017   0.040   0.198  99.99  99.99       99.99  99.99       99.99
16 03 14.8  +16 24 09  457  A2147     E  SB0   23.26   0.18   6.61        19.60  13.66        20.96   1.542   0.017   0.037   0.184   0.73   3.19       20.01   7.37       20.78
16 00 35.8  +15 41 08  458  A2147     F  S     17.05   0.01   8.56        20.51  14.00        21.61  99.999   0.029   0.011   0.139   2.79   1.38       19.38   6.91       20.37
16 01 16.8  +15 38 43  459  A2147     G  E/S0  24.77   0.14   4.75        18.93  13.70        20.28   1.482   0.029   0.037   0.184   0.64   2.51       19.47   5.34       20.21
16 01 30.6  +15 30 12  460  A2147     H  E/S0  24.33   0.12   7.44        19.72  13.52        21.08   1.501   0.029   0.035   0.177   0.48   4.55       20.47   8.56       21.24
16 03 43.7  +16 19 38  461  A2147     I  S     20.24   0.02   4.50        19.12  14.01        20.70   1.598   0.017   0.011   0.135   0.60   1.99       19.25   7.27       21.23
16 03 45.8  +16 20 17  462  A2147     J  S     13.70  99.99   3.71        19.51  14.81        20.93  99.999   0.017   0.012   0.150   0.70   1.71       19.79   4.55       20.91
16 03 38.2  +15 54 03  463  A2147     1  E/S0   6.88  99.99  12.57        22.10  14.76        23.37  99.999   0.029   0.036   0.178   0.23  15.46       24.17   4.70       21.79
16 02 40.5  +15 45 20  464  A2147     2  S     18.69  99.99   6.52        19.93  14.01        21.34  99.999   0.032   0.011   0.139   0.93   2.41       19.87   7.57       21.04
16 02 08.0  +15 41 47  465  A2147     3  S     26.06  99.99   6.61        19.46  13.51        20.70  99.999   0.032   0.011   0.139   1.52   1.90       19.15   6.18       19.86
16 01 55.0  +16 27 16  466  A2147     4  S     17.72  99.99   5.40        19.79  14.28        20.88  99.999   0.017   0.011   0.139   1.89   1.79       19.93   4.40       19.80
16 01 21.2  +16 40 36  467  A2147     5  E/S0  24.15   0.10   5.78        19.33  13.68        20.62  99.999   0.017   0.032   0.159   0.79   2.91       19.88   5.80       20.24
15 57 08.2  +22 24 16  468  P386-1    A  E/S0  44.14  99.99   9.85        19.21  12.32        20.47   1.541   0.068   0.015   0.074   0.51   6.69       20.22   9.24       20.25
15 58 17.6  +22 40 28  469  P386-1    B  E/S0  18.94  99.99   7.15        20.06  13.98        21.44   1.437   0.061   0.046   0.231   0.77   3.17       20.30   8.29       21.28
15 58 07.0  +22 39 52  470  P386-1    C  E      8.80  99.99   3.33        20.05  15.51        21.45  99.999   0.061   0.016   0.078  99.99  99.99       99.99  99.99       99.99
15 58 12.6  +22 29 19  471  P386-1    1  E/S0  11.59  99.99   4.86        20.20  15.15        21.78  99.999   0.065   0.089   0.444   0.31   3.00       20.84  11.88       23.72
16 11 22.6  +23 57 53  472  P386-2    A  E/S0  31.07  99.99  10.01        19.77  12.91        21.28   1.566   0.082   0.032   0.160   0.52   5.06       20.14  15.14       21.83
16 12 06.0  +23 50 29  473  P386-2    B  S     12.94  99.99   3.70        19.59  14.89        21.04  99.999   0.082   0.010   0.126   0.69   1.65       19.80   4.77       21.11
16 12 07.9  +23 43 05  474  P386-2    C  E/S0  15.76  99.99   4.39        19.56  14.49        20.94  99.999   0.082   0.032   0.160   0.53   2.47       20.17   5.29       21.11
16 11 19.0  +24 10 54  475  P386-2    D  S     11.12  99.99   3.63        19.80  15.15        21.27  99.999   0.101   0.010   0.125   0.52   1.93       20.28   5.03       21.68
16 12 22.5  +24 12 25  476  P386-2    1  E      9.89  99.99   3.97        20.15  15.45        21.54  99.999   0.092   0.068   0.339  99.99  99.99       99.99  99.99       99.99
16 10 30.7  +24 03 15  477  P386-2    2  S      8.66  99.99   1.62        18.83  15.92        20.22  99.999   0.106   0.010   0.125  99.99  99.99       99.99  99.99       99.99
16 03 19.9  +25 27 13  478  A2148     A  cD    16.26   0.07  10.07        20.83  14.18        22.22   1.539   0.094   0.090   0.448  99.99  99.99       99.99  99.99       99.99
16 03 03.6  +25 27 09  479  A2148     B  E/S0  13.75  99.99   3.16        19.20  15.07        20.67  99.999   0.094   0.086   0.429   0.44   1.82       19.79   4.62       21.31
16 03 52.6  +25 26 48  480  A2148     C  S      4.44   0.72   7.57        21.60  15.39        22.38  99.999   0.082   0.014   0.166  13.36   1.48       22.35   4.77       20.67
16 04 04.8  +25 33 45  481  A2148     D  E     14.24  99.99   2.70        18.85  14.81        20.24  99.999   0.082   0.026   0.133  99.99  99.99       99.99  99.99       99.99
16 02 30.4  +25 36 04  482  A2148     E  S      7.41  99.99   3.66        20.48  15.97        21.18  99.999   0.082   0.023   0.280  99.99  99.99       99.99  99.99       99.99
16 04 03.2  +25 29 49  483  A2148     F  S      6.03   0.22   8.82        21.58  15.23        22.40  99.999   0.082   0.028   0.342   9.45   1.31       21.39   5.73       20.76
16 03 22.3  +25 22 21  484  A2148     1  S     11.51  99.99   5.70        20.49  15.08        21.84  99.999   0.094   0.028   0.342   1.44   1.41       19.82   5.79       21.09
16 03 21.0  +25 18 32  485  A2148     2  E/S0  11.45  99.99   4.56        20.14  15.21        21.53  99.999   0.094   0.088   0.439   0.40   2.92       20.93   5.67       21.97
16 02 47.9  +25 30 32  486  A2148     3  E/S0  10.32  99.99   2.78        19.41  15.56        21.10  99.999   0.082   0.088   0.438   0.43   1.39       19.68   7.38       22.84
16 04 56.7  +23 55 58  487  J18       A  cD    40.86   0.74  19.89        20.47  12.11        21.53   1.601   0.099   0.032   0.161   1.11  12.50       21.66  14.97       20.55
16 05 17.6  +23 45 20  488  J18       B  S     19.42   0.06   3.71        18.95  14.24        20.28   1.458   0.089   0.010   0.117   1.09   1.33       18.92   3.86       19.74
16 04 50.5  +23 58 30  489  J18       C  E     16.96  99.99   3.46        18.98  14.43        20.38  99.999   0.099   0.032   0.159  99.99  99.99       99.99  99.99       99.99
16 03 41.8  +24 05 43  490  J18       D  S     16.11  99.99   8.03        20.49  14.11        22.06   1.504   0.099   0.010   0.127   0.14  10.35       22.58   1.00       18.25
16 04 47.0  +24 16 43  491  J18       E  E/S0  18.71  99.99   5.42        19.59  14.06        21.10  99.999   0.104   0.032   0.159   0.48   2.88       20.03   8.44       21.78
16 05 49.7  +24 10 33  492  J18       F  E/S0  11.22  99.99   4.34        20.12  15.07        21.34  99.999   0.104   0.032   0.162   1.03   1.98       20.58   4.03       20.69
16 06 23.4  +24 13 23  493  J18       1  E/S0  10.63  99.99   5.58        20.58  15.08        22.12  99.999   0.101   0.054   0.269   0.33   3.43       21.23  10.97       23.56
